Last Name,First Name,UserID,Major-Year
Dougherty,Antwan,443-13-3556,Phi-FR
Knox,Patrick,280-73-5539,Art-SR
Parrish,Shane,836-52-7474,Ger-SO
Kerr,Jerome,184-68-9130,Jou-SR
Foley,Adriel,137-20-7752,Avi-JR
Wagner,Seamus,963-58-9837,Ele-SR
Hobbs,Ashton,885-19-6844,Urb-FR
Petty,Evie,583-17-8205,Pub-SO
Myers,Leandro,846-86-1183,Cou-SR
Roberts,Julia,731-36-7830,Lib-FR
Brandt,Lukas,358-56-8112,Med-FR
Livingston,Alani,886-40-7006,Urb-SO
Peterson,Jamiya,247-81-9639,Med-JR
Roy,Kirsten,131-73-3825,Man-FR
Copeland,Johnny,101-88-8583,Int-FR
Wong,Amirah,984-49-7533,Cre-SO
Kline,Luciano,274-66-3201,Cyb-SO
Joseph,Lance,377-94-7641,Bio-SR
Rangel,Paula,391-56-3431,Neu-SR
Massey,Jamie,644-98-5853,Mus-SR
Rubio,Karli,959-52-4755,Exe-SR
Mcguire,Ellis,861-10-8534,Con-JR
Oliver,Madyson,275-59-1668,Sec-FR
Fry,Serenity,717-98-7411,Ele-JR
Leon,Jaliyah,894-99-6981,Geo-SO
Guerrero,Parker,180-52-1247,Pol-FR
Kemp,Milagros,203-98-9897,Avi-SR
Garza,Aniya,100-58-8601,Edu-FR
Roberts,Zoe,718-45-3528,The-SO
Chan,Ryder,731-22-3239,Com-SR
Norton,Antonio,209-59-9172,Mus-SR
Kim,Jazlene,652-73-9224,Com-JR
Cox,America,451-98-3781,Avi-SR
Rogers,Colby,800-18-1208,Soc-SR
Conrad,Stella,607-52-3746,Bio-SO
Mccullough,Micheal,110-16-2223,Hea-SR
Hardy,Kolby,335-91-7119,Mus-JR
Tapia,Sophia,912-46-2838,Che-FR
Jacobson,Addison,231-30-5891,Con-JR
Terrell,Aimee,579-64-2390,Eme-FR
Cannon,Abagail,592-47-6376,Avi-FR
Conrad,Donald,417-15-1782,Man-JR
Medina,Tiana,620-86-1667,Edu-JR
Vasquez,Edwin,713-12-7466,Sec-SO
Mcclain,Sofia,848-92-4732,Pub-SR
Nash,Braylon,982-15-6498,Inf-FR
Buchanan,Chaya,821-18-8425,For-SR
Juarez,Charlize,868-53-6304,Rel-SR
Yu,Xzavier,981-82-3036,Ger-SO
Kent,Timothy,113-77-6916,Jou-FR
Jones,Bailee,731-46-4121,Bio-SR
Hoover,Elizabeth,707-68-2898,Eng-FR
Ramos,Jaida,258-60-6123,Avi-SR
Livingston,Perla,826-59-5240,Con-SR
Simpson,Shayna,657-27-7529,Eme-SO
Dawson,Jan,511-32-9556,Wri-JR
Huffman,Aryana,988-19-4629,Mul-SO
Fernandez,Hillary,249-65-2684,Wom-JR
Barnes,Hillary,233-70-7360,Com-FR
Parks,Kayla,686-72-5990,Eco-SR
Murphy,Todd,312-59-5455,Sch-FR
Kelley,Melissa,646-33-9398,Arc-SR
Gross,Abbigail,902-63-8563,Ath-SO
Benton,Alina,317-80-6825,Spe-SO
Klein,Jadon,182-85-7317,Com-SO
Love,Saul,381-53-3880,Inf-SO
Galvan,Ingrid,274-88-1204,Neu-FR
Logan,Zachery,498-60-2143,Kin-FR
Singleton,Rubi,736-88-8219,Soc-SO
Esparza,Emiliano,758-73-8346,Man-JR
Salazar,Sierra,364-83-2642,Cou-FR
Blair,Ashlyn,596-16-8906,Acc-SR
Barrera,Destiney,841-95-7582,Com-JR
Good,Armani,758-67-9042,Bio-FR
Mcneil,Maximus,446-17-8765,Cre-JR
Peters,Jalen,174-37-4543,Ath-JR
Preston,Chana,634-11-3732,Inf-SR
Simmons,Asia,522-89-1665,Mus-FR
Mccarty,Ronan,506-49-5097,Bio-SO
Mitchell,Adrianna,675-73-7124,Arc-FR
Evans,Molly,898-20-3887,His-SR
Mcclure,Lilah,952-35-7119,Sch-SR
Riddle,Lola,852-84-7430,Psy-JR
Novak,Khloe,685-86-3114,Soc-JR
Harding,Elyse,239-62-7535,Lit-SR
Clark,Aditya,177-33-8822,Mat-FR
Patterson,Alvin,502-40-3967,Edu-SR
Benson,Deegan,772-16-8951,For-FR
Mcbride,Aaron,215-67-1611,Eng-SR
West,Lilyana,403-89-9516,Acc-SO
Liu,Connor,255-51-5936,Cri-SO
Camacho,Asher,625-30-9735,Pol-SO
Hancock,Myles,146-24-6239,Mat-SO
Cook,Asher,193-82-8286,Ger-SO
Tanner,Cale,158-50-9834,Pol-SO
Hester,Trent,753-79-7168,Wri-SO
Romero,Cristofer,756-34-2870,Bla-SO
Caldwell,Maren,268-85-6745,Acc-SO
Long,Matthew,751-41-7733,Civ-FR
Booker,Remington,305-33-7222,The-JR
